full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,109909,109909,18262,538,538,138,https://github.com/anthropics/claude-code
claude-code-best/claude-code,14177,14177,14227,294,294,165,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,142690,142690,21718,2214,2214,576,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1863,1863,5513,28,28,51,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,49050,49050,7933,439,439,87,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8514,8514,14173,65,65,61,https://github.com/ChinaSiro/claude-code-sourcemap
yasasbanukaofficial/claude-code,1757,1757,3027,130,130,170,https://github.com/yasasbanukaofficial/claude-code
codeaashu/claude-code,1727,1727,2590,155,155,168,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1295,1295,2218,31,31,40,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,36951,36951,2938,214,214,34,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,49,49,7379,1,1,-5,https://github.com/RishabhK103/claude-code
pengchengneo/Claude-Code,1053,1053,2002,31,31,17,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31641,31641,2503,76,76,7,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24237,24237,2383,56,56,4,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32432,32432,2975,302,302,36,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,662,662,984,25,25,31,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,165,165,2208,0,0,27,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2793,2793,3593,29,29,38,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2057,2057,3367,22,22,30,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16472,16472,1862,141,141,16,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6916,6916,1673,21,21,4,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8350,8350,1550,57,57,19,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9421,9421,1203,7,7,-1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8254,8254,1247,71,71,15,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8502,8502,629,30,30,1,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,284,284,577,4,4,0,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,732,732,1692,5,5,7,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7183,7183,504,23,23,4,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5724,5724,512,5,5,1,https://github.com/ChrisWiles/claude-code-showcase
chauncygu/collection-claude-code-source-code,1686,1686,1899,110,110,64,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,850,850,1696,7,7,35,https://github.com/pedrohcgs/claude-code-my-workflow
liuup/claude-code-analysis,1008,1008,984,66,66,43,https://github.com/liuup/claude-code-analysis
OneRedOak/claude-code-workflows,3770,3770,554,2,2,0,https://github.com/OneRedOak/claude-code-workflows
