full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,144375,144375,23064,190,190,33,https://github.com/anthropics/claude-code
claude-code-best/claude-code,22403,22403,16475,26,26,-10,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2294,2294,5916,1,1,-1,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,76283,76283,12271,155,155,13,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3308,3308,3665,5,5,-2,https://github.com/codeaashu/claude-code
Alishahryar1/free-claude-code,53768,53768,8625,377,377,60,https://github.com/Alishahryar1/free-claude-code
tanbiralam/claude-code,2238,2238,2779,3,3,-1,https://github.com/tanbiralam/claude-code
ChinaSiro/claude-code-sourcemap,9655,9655,14617,-1,-1,-9,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1779,1779,2605,1,1,2,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,104,104,7145,0,0,2,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,53665,53665,4678,97,97,9,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65739,65739,6531,106,106,0,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,37119,37119,3128,24,24,9,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,30561,30561,3466,18,18,3,https://github.com/davila7/claude-code-templates
Onewon/claude-code,181,181,2218,0,0,0,https://github.com/Onewon/claude-code
LING71671/Open-ClaudeCode,948,948,1218,3,3,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,24873,24873,3555,38,38,7,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24914,24914,2886,33,33,8,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3297,3297,3809,2,2,-1,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8816,8816,2132,15,15,3,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2336,2336,3527,1,1,1,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12609,12609,2041,24,24,-2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3897,3897,2056,5,5,0,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,328,328,609,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
pedrohcgs/claude-code-my-workflow,1567,1567,3011,5,5,2,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10054,10054,810,14,14,-1,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10015,10015,1229,-1,-1,-1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9624,9624,720,2,2,0,https://github.com/frankbria/ralph-claude-code
ochamber/claude-code,1,1,4824,0,0,-5,https://github.com/ochamber/claude-code
chauncygu/collection-claude-code-source-code,2826,2826,2458,4,4,2,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,793,793,1758,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4209,4209,827,9,9,1,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15841,15841,1372,86,86,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6061,6061,575,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5918,5918,773,15,15,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
alex000kim/claude-code,233,233,327,0,0,0,https://github.com/alex000kim/claude-code
huangserva/claude-code-cli,626,626,1305,-1,-1,1,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3893,3893,563,0,0,0,https://github.com/OneRedOak/claude-code-workflows
xorespesp/claude-code,232,232,318,0,0,-1,https://github.com/xorespesp/claude-code
anthropics/claude-code-security-review,6180,6180,681,8,8,4,https://github.com/anthropics/claude-code-security-review
nicedreamzapp/claude-code-local,3278,3278,624,18,18,3,https://github.com/nicedreamzapp/claude-code-local
rohitg00/awesome-claude-code-toolkit,2597,2597,938,6,6,3,https://github.com/rohitg00/awesome-claude-code-toolkit
VineeTagarwaL-code/claude-code,274,274,271,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
zebbern/claude-code-guide,4609,4609,462,6,6,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3744,3744,489,0,0,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1661,1661,642,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
zstmfhy/Claude-code,189,189,282,0,0,0,https://github.com/zstmfhy/Claude-code
Windy3f3f3f3f/how-claude-code-works,3595,3595,704,8,8,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
disler/claude-code-hooks-mastery,3914,3914,638,4,4,-1,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,8682,8682,458,8,8,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
alejandrobalderas/claude-code-from-source,2789,2789,754,2,2,0,https://github.com/alejandrobalderas/claude-code-from-source
freestylefly/claude-code,131,131,309,1,1,-1,https://github.com/freestylefly/claude-code
Tinkeringg-Lab/claude-code,212,212,240,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
777genius/claude-code-source-code,930,930,1091,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3354,3354,391,3,3,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,237,237,216,1,1,0,https://github.com/fazxes/Claude-code
RichardAtCT/claude-code-telegram,2781,2781,420,5,5,1,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2784,2784,414,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
